Date,Affected pages
2025-09-26,0
2025-09-27,0
2025-09-28,0
2025-09-29,0
2025-09-30,11
2025-10-01,11
2025-10-02,11
2025-10-03,11
2025-10-04,15
2025-10-05,15
2025-10-06,15
2025-10-07,106
2025-10-08,106
2025-10-09,106
2025-10-10,106
2025-10-11,165
2025-10-12,165
2025-10-13,165
2025-10-14,191
2025-10-15,191
2025-10-16,191
2025-10-17,191
2025-10-18,192
2025-10-19,192
2025-10-20,192
2025-10-21,193
2025-10-22,193
2025-10-23,193
2025-10-24,193
2025-10-25,195
2025-10-26,195
2025-10-27,195
2025-10-28,195
2025-10-29,195
2025-10-30,195
2025-10-31,195
2025-11-01,195
2025-11-02,195
2025-11-03,195
2025-11-04,200
2025-11-05,200
2025-11-06,200
2025-11-07,200
2025-11-08,207
2025-11-09,207
2025-11-10,207
2025-11-11,209
2025-11-12,209
2025-11-13,209
2025-11-14,209
2025-11-15,211
2025-11-16,211
2025-11-17,211
2025-11-18,212
2025-11-19,212
2025-11-20,212
2025-11-21,212
